Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate Rating,Rating color,Rating text,Votes
100001,Restaurant 1,1,New Delhi,Sample Address 1,Sector 18,85.00525596038649,21.579659392713413,Bakery,2165,Indian Rupees(Rs.),Yes,Yes,No,2,3.6,Green,Good,1982
100002,Restaurant 2,1,Pune,Sample Address 2,Mall Road,88.05767488915718,27.868107334258653,Fast Food,755,Indian Rupees(Rs.),No,Yes,Yes,1,3.6,Green,Good,1112
100003,Restaurant 3,1,Kolkata,Sample Address 3,Sector 18,80.66163662337678,26.469199161401463,Bakery,889,Indian Rupees(Rs.),No,Yes,Yes,1,4.4,Green,Good,2472
100004,Restaurant 4,1,Mumbai,Sample Address 4,Main Market,75.05919079005463,19.628001792160326,Cafe,941,Indian Rupees(Rs.),Yes,Yes,Yes,2,4.1,Green,Good,157
100005,Restaurant 5,1,Mumbai,Sample Address 5,Sector 18,73.01879971701877,28.669753509943245,Mughlai,607,Indian Rupees(Rs.),Yes,Yes,No,2,2.1,Green,Good,430
100006,Restaurant 6,1,Pune,Sample Address 6,Sector 18,76.40559967098203,27.467840247939,Bakery,557,Indian Rupees(Rs.),No,Yes,Yes,4,2.1,Green,Good,2421
100007,Restaurant 7,1,New Delhi,Sample Address 7,Mall Road,74.86960881924838,21.3958660662132,South Indian,998,Indian Rupees(Rs.),Yes,Yes,Yes,1,3.7,Green,Good,721
100008,Restaurant 8,1,Kolkata,Sample Address 8,Mall Road,83.43924117572186,27.036345112541568,Mughlai,2210,Indian Rupees(Rs.),No,Yes,Yes,4,3.4,Green,Good,776
100009,Restaurant 9,1,Gurgaon,Sample Address 9,Sector 18,74.71277032266794,19.585479225088104,Italian,203,Indian Rupees(Rs.),Yes,Yes,No,1,2.8,Green,Good,1978
100010,Restaurant 10,1,New Delhi,Sample Address 10,Mall Road,80.74937992644394,28.690868250837234,Bakery,851,Indian Rupees(Rs.),Yes,No,No,1,3.2,Green,Good,473
100011,Restaurant 11,1,Bengaluru,Sample Address 11,Sector 18,83.69992023959331,25.289984308286677,South Indian,339,Indian Rupees(Rs.),No,Yes,Yes,3,4.2,Green,Good,1283
